nome,price,desc,ano,fotos,km
Palio 2010 - 2010,21000,76.000 km | Câmbio: manual,2010,0,76000
Corsa Hatch Millenium 1.0 completo - 2002,12500,200.000 km | Câmbio: manual | Gasolina,2002,6,200000
Cruze LTZ turbo flex 1.4 ano 2018 fase 2 só com 15000km - 2018,88000,15.000 km | Câmbio: automático | Flex,2018,2,15000
FIAT DOBLÒ 2017/2018 1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL - 2018,59900,42.190 km | Câmbio: manual | Flex,2018,8,42190
,0,,0,0,0
Uno Mille Fire 2002 1.0 - 2002,8200,237.000 km | Câmbio: manual | Gasolina,2002,12,237000
Gm - Chevrolet Onix LT 1.4 automático 2017 - 2017,48000,26.500 km | Câmbio: automático | Flex,2017,15,26500
Honda Civic 2.0 Lxr 16v - 2014,55490,141.126 km | Câmbio: automático | Flex,2014,8,141126
Honda Fit 1.4 lx 16v - 2014,40990,121.215 km | Câmbio: automático | Flex,2014,8,121215
Carretinha reboque de 2 eixos - 2019,4800,1 km,2019,3,0
Brasília 80,1800,200 km,0,3,0
"Oferta!! Kia Sorento 3.5 V6 Automática 7 Lugares ""Teto Solar"" Top de Linha !! - 2011",60900,0 km | Câmbio: automático | Gasolina,2011,16,0
Kia Sportage 2.0 ex 4x2 16v - 2010,34990,87.850 km | Câmbio: manual | Gasolina,2010,1,87850
"147 > Em ótimo estado R$7500,00/ só venda",7500,1 km | Câmbio: manual | Gasolina,0,2,1
Voyage 89 - 1989,3500,0 km | Câmbio: manual | Álcool,1989,4,0
,0,,0,0,0
Caravan 1992 - 1992,0,10.000 km | Câmbio: manual | Álcool,1992,3,10000
Oportunidade única! Zafira elegance ano 2008 7 lugares abx da tab - 2008,20900,149.000 km | Câmbio: manual | Flex,2008,1,149000
Honda Fit Lx 1.4 Flex 2009 Manual Baixo Km - 2009,29800,89.000 km | Câmbio: manual | Flex,2009,7,89000
HONDA HR-V LX 1.8 16V SOHC I-VTEC FLEXONE AUT. 2016 Linda - 2016,71900,70.000 km | Câmbio: automático | Flex,2016,10,70000
Palio 1.0 Fire Economy 2012 - 2012,17900,48.746 km | Câmbio: manual | Flex,2012,5,48746
PEUGEOT 2008 2016/2017 1.6 16V FLEX GRIFFE 4P AUTOMÁTICO - 2017,66900,54.000 km | Câmbio: automático | Flex,2017,18,54000
RENAULT LOGAN 2018/2019 1.0 12V SCE FLEX EXPRESSION MANUAL - 2019,42900,40.086 km | Câmbio: manual | Flex,2019,7,40086
Jeep Renegade Limited - 2018,83900,15.000 km | Câmbio: automático | Flex,2018,10,15000
F- Toooop de linha 308 RollandGarroz - 2018,88900,18 km | Câmbio: automático | Flex,2018,6,18
Gm -Celta Spirit 1.0 4p - 2011,19500,0 km | Câmbio: manual | Flex,2011,10,0
Automovel - 2014,55900,89.000 km | Câmbio: automático | Flex,2014,0,89000
Oportunidade! C4 Pallas automático ano 2010 abx da tab particular - 2010,20900,199.000 km | Câmbio: automático | Flex,2010,1,199000
Vendo ou troco - 2005,15000,207.000 km | Câmbio: manual | Flex,2005,0,207000
JEEP RENEGADE 2017/2018 2.0 16V TURBO DIESEL LONGITUDE 4P 4X4 AUTOMÁTICO - 2018,104990,27.000 km | Câmbio: automático | Diesel,2018,8,27000
Mitsubishi Pajero - 2008,44900,225 km | Câmbio: automático | Gasolina,2008,6,225
RENAULT LOGAN 2017/2018 1.6 16V SCE FLEX EXPRESSION MANUAL - 2018,40708,39.540 km | Câmbio: manual | Flex,2018,0,39540
"Gm - Chevrolet Cobalt Lt 1.4 Flex "" Excelente estado de Conservação "" - 2012 - 2012",0,0 km | Câmbio: manual | Flex,2012,7,0
Gm/Cruze LT automático 2016 Completo - 2016,59900,62.000 km | Câmbio: automático | Flex,2016,6,62000
KG/Gm - Chevrolet Spin LTZ - 2013,0,0 km | Câmbio: automático | Flex,2013,6,0
Cruze 1.4 Ltz 2 - 2017 !!!! De R$ 86.900 por R$ 79.900 !!!!! Oferta da Semana!!! - 2017,0,28.000 km | Câmbio: automático | Flex,2017,13,28000
,0,,0,0,0
Captiva Sport ano 2012 2.4 único dono abx da tab - 2012,39000,80.000 km | Câmbio: automático | Flex,2012,1,80000
"O melhor carro que existe, tudo eh barato! - 2013",15000,102.000 km | Câmbio: manual | Flex,2013,3,102000
Vendo Toyota Corolla S 1.8 16V 136CV automático Blindado - 2007,35000,165.000 km | Câmbio: automático | Gasolina,2007,7,165000
CITROËN C4 LOUNGE 2013/2014 1.6 EXCLUSIVE 16V TURBO GASOLINA 4P AUTOMÁTICO - 2014,46900,126.000 km | Câmbio: automático | Gasolina,2014,7,126000
Honda City lx 1.5 automatico 2015 - 5434 - 2015,55900,46.755 km | Câmbio: automático | Flex,2015,17,46755
CHEVROLET CRUZE 1.8 LT 16V FLEX 4P AUTOMÁTICO - 2015,56600,62.059 km | Câmbio: automático | Flex,2015,8,62059
"Troller T-4 2004 MWM, Fantástico - 2004",46000,155.715 km | Câmbio: manual | Diesel,2004,1,155715
Citroen C4 - 2010,24000,100 km | Câmbio: manual | Flex,2010,5,100
HB20 1.0 Confort Plus - 2017,39000,30.000 km | Câmbio: manual | Flex,2017,6,30000
FORD KA + 2018/2018 1.5 SIGMA FLEX SE MANUAL - 2018,45100,27.445 km | Câmbio: manual | Flex,2018,6,27445
NISSAN KICKS 1.6 16V FLEX SV 4P XTRONIC - 2018,76890,31.080 km | Câmbio: automático | Flex,2018,8,31080
Vendo Logan - 2015,31000,0 km | Câmbio: manual | Flex,2015,1,0
,0,,0,0,0
CHEVROLET ONIX 1.4 MPFI LTZ 8V FLEX 4P MANUAL - 2015,40990,65.915 km | Câmbio: manual | Flex,2015,8,65915
Toyota Corolla 2.0 Altis 16v - 2017,82990,47.000 km | Câmbio: automático | Flex,2017,9,47000
Ecosport xls 1.6 Completo !!!Abaixo da tabela!!! - 2007,22900,203.000 km | Câmbio: manual | Flex,2007,10,203000
Sandeiro expression 1.6 8v - 2009,18500,163.000 km | Câmbio: semi-automático | Álcool,2009,2,163000
Gm - Chevrolet Meriva - 2009,21900,130.000 km | Câmbio: manual | Flex,2009,11,130000
GM Classic 2014 LS 1.0 + Direção Vidro Alarme e Trava - 2014,22890,107.665 km | Câmbio: manual | Flex,2014,12,107665
"Oferta!! Eco Sport Titanium 2.0 Automática ""Impecável"" Confira!! - 2014",51900,0 km | Câmbio: automático | Flex,2014,12,0
Passo dívida do Fox Trend 2013 COMPLETO - 2013,0,139.000 km,2013,1,0
,0,,0,0,0
Gm - Chevrolet Celta - 2013,0,120 km | Câmbio: manual | Flex,2013,4,120
V*B Hyundai i30 1.8 2015 / teto solar panorâmico - 2015,0,50 km | Câmbio: automático,2015,1,50
/Gm - Chevrolet Prisma LT - Completo - MyLink - 2017 - 2017,0,41.000 km,2017,5,0
Peugeot 307 - 2005,14500,200.000 km | Câmbio: manual | Gasolina,2005,8,200000
Venda ou troca - 2012,22000,190.000 km | Câmbio: manual | Flex,2012,3,190000
"Raridade! fiesta 1.6 completo só com 40.000,km única dona - 2013",24900,40.000 km | Câmbio: manual | Flex,2013,1,40000
C3 tendance!!!impecável - 2013,31900,111.000 km | Câmbio: manual | Flex,2013,3,111000
Polo 2003 gasolina 1.6 - 2003,15500,106.000 km | Câmbio: manual | Gasolina,2003,6,106000
(OP) Hyundai Hb20s 1.6 - Completo - Baixo km - Bancos de Couro - 2014,0,0 km | Câmbio: automático | Flex,2014,5,0
"Fiat Uno Way 1.0 2011 super econômico, simule agora seu financiamento!! - 2011",0,68.863 km | Câmbio: manual | Flex,2011,8,68863
,0,,0,0,0
;) Hb20 - Completo - Baixo km - Único dono - 2018,0,0 km | Câmbio: manual | Flex,2018,6,0
P* Fiorino Hard Working 2018 - 2018,0,32.000 km | Câmbio: manual | Flex,2018,3,32000
+Ford Ka - 2018,0,0 km | Câmbio: manual | Flex,2018,4,0
Renault Logan - 2009,19900,130.000 km | Câmbio: manual | Álcool,2009,1,130000
Strada adventure 2017 cabine dupla - 2017,59900,51.000 km | Câmbio: manual | Flex,2017,6,51000
Sandero authentic 1.0 flex 2018 - 0849 - 2018,38900,11.820 km | Câmbio: automático | Flex,2018,11,11820
Gm - Onix 2018 Joy 1.0 Completo - 2018,35899,25.998 km | Câmbio: manual | Flex,2018,12,25998
Renault Sandero completo - 2011,21890,149.000 km | Câmbio: manual | Flex,2011,3,149000
Renault Captur Intense 1.6 Automatico/ Muito Nova! - 2019,79900,9.000 km | Câmbio: automático | Flex,2019,9,9000
Gm - Chevrolet Vectra - 2010,28990,140.000 km | Câmbio: manual | Flex,2010,12,140000
DR - Honda HR-V EX 1.8 - 2016,0,70.000 km | Câmbio: automático | Álcool,2016,4,70000
Vw - Volkswagen Voyage / Shopping JK ( capital veiculos ) - 2011,26900,77.000 km | Câmbio: manual | Flex,2011,6,77000
Renault Sandero 1.6 flex 8 válvulas completo mp3 original - 2011,23900,141.000 km | Câmbio: manual | Flex,2011,13,141000
Troco por menor valor Completo particular - 2014,38000,105.000 km | Câmbio: automático | Flex,2014,10,105000
Vw - Volkswagen Kombi - 1999,12900,90.000 km | Câmbio: manual | Gasolina,1999,8,90000
Vw - Volkswagen Fox Lindo - 2011,29000,48.380 km | Câmbio: manual | Flex,2011,6,48380
Fox - 2010,21700,110 km | Câmbio: manual | Flex,2010,8,110
Saveiro 2015 trendline 1.6 8v flex (prata) completo - 2015,0,110.000 km | Câmbio: manual | Flex,2015,6,110000
Ford Escort - 2000,6500,140.000 km | Câmbio: manual | Gasolina,2000,10,140000
Honda Civic LXS Automático - 2º dono - 2008,29800,250.000 km | Câmbio: automático | Gás Natural,2008,12,250000
,0,,0,0,0
Gm - Chevrolet Classic - 2013,18000,131.000 km | Câmbio: manual | Flex,2013,3,131000
